contract_id,pdf_key,contract_name,project_name,sector,_subsector,contract_type,party,party_type,contract_date
6594,5/24a1cb383424861f0c2d69faa1009522/main.pdf,Hat Creek Hereford Ranch Amendment 1,Hat Creek Hereford Ranch,Power and Renewables,Hydropower,Power Purchase Agreement,HAT CREEK HEREFORD RANCH POWER PROJECT,Seller,2001-04-05
7294,5/7270cbbcaa0aa3a2b22ddf325cd0b747/06469.pdf,Soldotna No. 1 Plant Amendment 1,Soldotna No. 1 Plant,Power and Renewables,Wind,Power Purchase Agreement,HOMER ELECTRIC ASSOCIATION,Service Provider,1999-06-10
6798,5/3202415e52a6b042ca87ea5457f3ed64/main.pdf,Yuba County Water Amendment 3,Yuba County Water,Power and Renewables,Diesel-Fired Power Plant,Power Purchase Agreement,YUBA COUNTY WATER AGENCY,Seller,2008-01-29
6947,5/d3b2850ac4a3e50c84eeb8e1e0f583da/main.pdf,Avenal Amendment 1,Avenal,Power and Renewables,Oil-Fired Power Plant,Power Purchase Agreement,10 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,2009-12-23
8944,5/18895a7af49a4449ce9b9c6927d9455a/main.pdf,Sierramin Bauxite Limited Sierra Leone Metals Concession ,Sierramin Bauxite Limited Sierra Leone Metals Concession,Metals,Copper,Mining Contract,SierraMin Bauxite (SL) Limited,Concessionaire,2017-12-05
8776,5/fc396cae22e499e0029667f058d29b08/main.pdf,"The People Of Zodua Section, Vai Konneh Clan Liberia Timber Private Use Permit ","The People Of Zodua Section, Vai Konneh Clan Liberia Timber Private Use Permit",Timber,Plantation,Private Use Permit,Forestry Development Authority,Authority,2011-01-10
7287,5/fdb6bbe67a74b4bab15bd86e3412288f/36939.pdf,Soldotna No. 1 Plant Offtake Agreement,Soldotna No. 1 Plant,Power and Renewables,Coal-Fired Power Plant,Power Purchase Agreement,HOMER ELECTRIC ASSOCIATION,Service Provider,1999-06-10
6948,5/2ecf4b6733b9deecdaf66d9da41f1018/main.pdf,Avenal Amendment 2,Avenal,Power and Renewables,Solar,Power Purchase Agreement,10 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,2009-12-23
6958,5/8735ea0105f3faf5be601e74e9bda200/main.pdf,CTVPower Offtake Agreement,CTVPower,Power and Renewables,Thermal,Power Purchase Agreement,13 SOUTHERN CALIFORNIA EDISON COMPANY,Buyer,1985-04-11
8706,5/257a17787f8c1bf06c13f3272f34fd52/main.pdf,Bea Mountain Mining Corporation Liberia Metals Concession ,Bea Mountain Mining Corporation Liberia Metals Concession,Metals,Base Metals,Mineral Development Agreement,Bea Mountain Mining Corporation,Company,2013-09-07
7238,5/203e8aa6e2f2d62135cfa9ef26ae717e/64948.pdf,Jackson Valley Irrigation District Offtake Agreement,Jackson Valley Irrigation District,Power and Renewables,Wind,Power Purchase Agreement,PACIFIC GAS AND ELECTRlC COMPANY.,Buyer,2012-03-28
7309,5/783a8d8cb62a9fd50b0e042e09f51be1/26042.pdf,Midland Cogeneration Offtake Agreement,Midland Cogeneration,Power and Renewables,Coal-Fired Power Plant,Power Purchase Agreement,STS Hydropower LLC,Party,2020-11-04
8197,5/cf73833d77951bddd0f1af7c52e40372/main.pdf,Sociedad Portuaria El Cayao Sa Esp Colombia Midstream Operation And Services Agreement ,Sociedad Portuaria El Cayao Sa Esp Colombia Midstream Operation And Services Agreement,Midstream,Pipeline,Operation And Services Agreement,Franca Celsia S.A. ESP,Thermal Generator,2014-10-31
8322,5/1dca5a5778489131e040fb9348bb8ebc/main.pdf,Inco Adamus Resources Limited Ghana Metals Concession ,Inco Adamus Resources Limited Ghana Metals Concession,Metals,Leucoxene,Mining Lease,Adamus Resources Ltd,Party,2008-04-10
6909,5/fbfd82f2c04c4b3152d1dc9c3e8494bb/89132.pdf,Thermal Energy Dev Corp Amendment 3,Thermal Energy Dev Corp,Power and Renewables,Cogen,Power Purchase Agreement,13 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,2011-09-21
6738,5/0f750c1df728ca604305efb1d0a87f71/main.pdf,Lofton Ranch Offtake Agreement,Lofton Ranch,Power and Renewables,Thermal,Power Purchase Agreement,10 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,1984-05-06
7033,5/26f44fa0c7d2916938fc0be80da3050f/main.pdf,Innovative Cold Storage Enterprises (ICE) Amendment 1,Innovative Cold Storage Enterprises (ICE),Power and Renewables,Power Transmission and Distribution,Power Purchase Agreement,Innovative Oil and Gas,Seller,2008-12-08
6433,5/54e4821002a8c4e85313441c903fa970/main.pdf,Eric and Debbie Wattenburg Offtake Agreement,Eric and Debbie Wattenburg,Power and Renewables,Nuclear,Power Purchase Agreement,10 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,1984-05-06
8392,5/b24cfc05c2cd9266836c109ebba80c43/main.pdf,Nsuta Gold Mone Ltd Ghana Metals Concession ,Nsuta Gold Mone Ltd Ghana Metals Concession,Metals,Silver,Mining Lease,NSUTA GOLD MINING LTD,Contractor,2008-06-27
7155,5/b47ca4de59f0afae897d3d2b004203c9/82505.pdf,Mega Renewables Silver Springs Offtake Agreement,Mega Renewables Silver Springs,Power and Renewables,Thermal,Power Purchase Agreement,Silver Springs Power Project,Seller,1984-11-13
6788,5/240bdb8912aeca610b84764727dcb28f/main.pdf,Naturener Glacier 2 Offtake Agreement Cover sheet,Naturener Glacier 2,Power and Renewables,Petroleum Coke-Fired Power Plant,Power Purchase and Sale Agreement,San Diego Gas & Electric Company ,Party B,2008-05-23
6826,5/9e79a69ebd94c5950185061b1753985d/main.pdf,Fresh Air Energy Offtake Agreement,Fresh Air Energy,Power and Renewables,Coal-Fired Power Plant,Power Purchase Agreement,PACIFIC GAS AND ELECTRlC COMPANY.,Buyer,2011-07-14
6843,5/11be3a6dd7e84b198a4b106afc4c3379/main.pdf,Nevada Irrigation District Bowman Offtake Agreement,Nevada Irrigation District Bowman,Power and Renewables,Coal Fired Power Plant,Power Purchase Agreement,NEVADA POWER AUTHORITY,Seller,1984-09-11
8673,5/d559325da387fe5b82441ba08b07fd24/main.pdf,Chidambaranar Port Trust Chidambaranar Midstream Concession Agreement ,Chidambaranar Port Trust Chidambaranar Midstream Concession Agreement,Midstream,FSRU,Concession Agreement,Imcola Crane Company Private Limited,Concessionaire,
9118,5/4fdd48c6122f766c5f3bdb3c1d9496f0/main.pdf,China Nonferrous Metal Industry S Foreign Engineering And Construction Corporation Group Chambishi Metals Mine Development Agreement ,CHAMBISHI MINE,Metals,Cobalt,Mine Development Agreement,Nfc Africa Mining,Company,1998-06-29
7152,5/c63f65b65df2473a153fc86c7e3de292/64344.pdf,Water Wheel Ranch Amendment 1,Water Wheel Ranch,Power and Renewables,Diesel-Fired Power Plant,Amendment (Power Purchase Agreement),McMillan Hydro ,Seller,2001-07-31
7284,5/56dde843804b33e0c03424f034285bdb/58185.pdf,Chena Facilities Amendment 1,Chena Facilities,Power and Renewables,Diesel-Fired Power Plant,Power Purchase Agreement,"AURORA ENERGY, LLC",Seller,2006-02-26
6809,5/5aa6be891f18d2a43b8a2b4695452682/main.pdf,Etiwanda Offtake Agreement,Etiwanda,Hydropower,Ocean Current,Power Purchase Agreement,PACIFIC GAS AND ELECTRIC COMPANY.,Buyer,1994-01-18
8753,5/304951ceb62967f4a6d8f745921b960e/main.pdf,The People Ot Chelepo District 1A Liberia Timber Private Use Permit ,The People Ot Chelepo District 1A Liberia Timber Private Use Permit,Timber,Pine,Private Use Permit,"People of Chedepo and Potupo Districts, River Gee County",Owner,2010-05-04
7071,5/66470c77d26b84194c75f425c1e38d93/79955.pdf,Kekawaka Power House Amendment 8,Kekawaka Power House,Hydropower,Run of the River,Power Purchase Agreement,Pacific Gas and Electric Company,Buyer,1989-01-23
7295,5/df205449b4734df9962e0d4113d15700/61698.pdf,Sand Point Amendment 1,Sand Point,Power and Renewables,Generation,Amendment (Project),ALEUTIAN WIND ENERGY LLC,Seller,2011-01-20
6959,5/d4825dd29c8ae698fab65551c89b3020/main.pdf,CTVPower Amendment 1,CTVPower,Power and Renewables,Thermal,Power Purchase Agreement,Southern California Edison Company,Buyer,1992-11-09
6688,5/67a8216381d5d73048985cb272d73c72/main.pdf,DG Fairhaven Amendment 2,DG Fairhaven,Power and Renewables,Energy Storage,Amendment (Project),FAIRHAVEN POWER CO.,Seller,1986-09-30
6967,5/df7d633299648dfb62c07278f6412483/main.pdf,Shamrock Utilities Clover Leaf Amendment 3,Shamrock Utilities Clover Leaf,Power and Renewables,Geothermal,Power Purchase Agreement,10 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,1985-04-11
8804,5/270bacb69a4ca479b64650ebc6fd6dcf/main.pdf,St John Of God Midland Health Campus Acn 152 874 845 Western Australia Hospital/Hospice Project Services Asgreement ,St John Of God Midland Health Campus Acn 152 874 845 Western Australia Hospital/Hospice Project Services Asgreement,Hospital/Hospice,Nursing Home,Project Services Asgreement,The State Of Western Australia,State,
6820,5/f24931e76a069350912df7d3b2a5691e/main.pdf,Kingsburg 1 Offtake Agreement,Kingsburg 1,Power and Renewables,Energy Storage,Power Purchase Agreement,ImMODO California 1 LLC,Seller,2011-10-10
6778,5/14cab23078de9d1955b67e907dbdc871/main.pdf,San Luis Bypass FiT_AB1969 Offtake Agreement,San Luis Bypass FiT_AB1969,Power and Renewables,Hydropower,Power Purchase Agreement,Pacific Gas and Electric Company,Buyer,2011-10-11
8024,5/87c0b9d47d2012f05e750e6a96a94823/main.pdf,British Columbia Hospital/Hospice Project Report ,British Columbia Hospital/Hospice Project Report,Hospital/Hospice,Nursing Home,Project Agreement,Design-Builder EllisDon Design-Build Inc.,Design-Builder,2018-11-14
6933,5/7d0b21306ff6e2b9db8b1b88a2c6a434/main.pdf,Klondike IIIA Offtake Agreement,Klondike IIIA,Power and Renewables,Power Transmission and Distribution,Power Purchase Agreement,10 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,2008-08-11
6742,5/dba56441b44aa53f2a91a68561ed6fe1/main.pdf,Pacific Station Amendment 1,Pacific Station,Power and Renewables,Diesel-Fired Power Plant,Energy Services Agreement,PACIFIC STATION PROPERTY LLC,Customer,2011-01-21
7038,5/eb3684055bfc7bececefb00b5554bdf3/main.pdf,Swiss America Amendment 4,Swiss America,Power and Renewables,Hydropower,Power Purchase Agreement,10 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,1981-10-26
7689,5/5ee0513494b72c9149bfb24cda8aa840/56323.pdf,Caribbean Airport Facilities Inc Luis Munoz Marin International Airport Airport Lease Agreement ,Caribbean Airport Facilities Inc Luis Munoz Marin International Airport Airport Lease Agreement,Airport, Concessions,Lease Agreement,GOVERNMENT DEVELOPMENT BANK FOR PUERTO RICO,Lessor,2012-07-04
7616,5/b8a87bc6935c3be9bf345ed709538f36/57021.pdf,Eric and Debbie Wattenburg Project Agreement,Eric and Debbie Wattenburg,Power and Renewables,Power Transmission and Distribution,Power Purchase Agreement,"GANSNER POWER AND WATER, INC.",Seller,2001-07-30
8778,5/b4cfd361bd05f28d31bd384a21f213ec/main.pdf,"Putu Iron Ore Mining, Inc. and Mano River Iron Ore Ltd. Liberia Metals Concession ","Putu Iron Ore Mining, Inc. and Mano River Iron Ore Ltd. Liberia Metals Concession",Metals,Leucoxene,Mineral Development Agreement,Mano River Iron Ore Ltd.,Shareholder,2010-09-02
7287,5/fdb6bbe67a74b4bab15bd86e3412288f/36939.pdf,Soldotna No. 1 Plant Offtake Agreement,Soldotna No. 1 Plant,Power and Renewables,Nuclear,Power Purchase Agreement,HOMER ELECTRIC ASSOCIATION,Service Provider,1999-06-10
7234,5/48551a3eba4af516a5ea9a985b3612d6/63117.pdf,Collins Pine Amendment 2,Collins Pine,Power and Renewables,Thermal,Power Purchase Agreement,COLLINS PINE COMPANY,Seller,1990-07-20
7294,5/7270cbbcaa0aa3a2b22ddf325cd0b747/06469.pdf,Soldotna No. 1 Plant Amendment 1,Soldotna No. 1 Plant,Power and Renewables,Thermal,Power Purchase Agreement,ALASKA PUBLIC UTILITIES COMMISSION,Regulator,1999-06-10
7375,5/940af6cf2eae34fd37234964b298ed5c/17635.pdf,Black Hills Amendment 1,Black Hills,Power and Renewables,Biomass,Power Purchase Agreement,"Black Hills/Colorado Electric Utitlity Company, L.P.",Party,2011-12-31
7234,5/48551a3eba4af516a5ea9a985b3612d6/63117.pdf,Collins Pine Amendment 2,Collins Pine,Power and Renewables,Generation,Power Purchase Agreement,COLLINS PINE COMPANY,Seller,1990-07-20
8744,5/9dfbc7e199e9d5e4e7528ced26ab2bee/main.pdf,Tme People Of Zoreor District Ed Liberia Timber Private Use Permit ,Tme People Of Zoreor District Ed Liberia Timber Private Use Permit,Timber,Resin,Private Use Permit,"People of Zorzor Administrative District, Lofa County",Owner,2011-10-05
7283,5/dcc431274be619e12248e0c0b937a49d/98174.PDF,Sky River Offtake Agreement,Sky River,Power and Renewables,Oil-Fired Power Plant,Power Purchase Agreement,Cabazon Power Partners LLC,PPA Seller,2003-01-29
6899,5/b83f7a23cb709adff6e989aa86172c4d/main.pdf,Canal Creek Offtake Agreement,Canal Creek,Power and Renewables,Oil-Fired Power Plant,Power Purchase Agreement,MERCED IRRIGATION DISTRICT,Seller,1985-05-06
6969,5/eca123371a7c8042f44419485ccd2afd/main.pdf,Coram Offtake Agreement,Coram,Power and Renewables,Thermal,Power Purchase Agreement,10 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,2010-06-02
6959,5/d4825dd29c8ae698fab65551c89b3020/main.pdf,CTVPower Amendment 1,CTVPower,Power and Renewables,Biomass,Power Purchase Agreement,Southern California Edison Company,Buyer,1992-11-09
7382,5/b4c4a5d4d468b193e2ac0d629235e7c1/62872.pdf,Peetz Table Offtake Agreement,Peetz Table,Power and Renewables,Diesel-Fired Power Plant,Power Purchase Agreement,"Northern Colorado Wind Energy, LLC",Seller,2008-12-21
7381,5/871df29b3a9db36d58ca4c16c118b605/40844.pdf,Excel Energy Offtake Agreement,Excel Energy,Power and Renewables,Power Transmission and Distribution,Project Agreement,Public Service Company of Colorado,Company,
8745,5/837410c447654cde701fc444d6bf606c/main.pdf,"The People Of Zuzon Section, Grand Bassa County Ed Liberia Timber Private Use Permit ","The People Of Zuzon Section, Grand Bassa County Ed Liberia Timber Private Use Permit",Timber,Logging,Private Use Permit,Forestry Development Authority,Authority,2011-07-18
7254,5/abb119080bc71f1c354ea6c7030a7220/68356.pdf,Mega Renewables Roaring Creak Amendment 1,Mega Renewables Roaring Creak,Hydropower,Run of the River,Amendment (Project),MEGA RENEWABLES,Seller,2001-07-30
7151,5/18450924b530986e665c79f36eb567bf/91026.pdf,Water Wheel Ranch Offtake Agreement,Water Wheel Ranch,Power and Renewables,Oil-Fired Power Plant,Power Purchase Agreement,Pacific Gas and Electric Company,Buyer,1985-04-17
6907,5/ffe6e58fc9dcc0a4dfe73a49166a3480/main.pdf,Thermal Energy Dev Corp Amendment 1,Thermal Energy Dev Corp,Power and Renewables,Hydropower,Amendment (Project),"Thermal Energy Development Partnership, L.P.",Seller,1990-10-01
7363,5/34163d3cd446553369c7f8b67324099c/44954.pdf,Long Island Generating Facilities Offtake Agreement,Long Island Generating Facilities,Power and Renewables,Energy Storage,Power Purchase Agreement,Sierra Pacific Power Co.,Member of Consortium,2012-10-09
8744,5/9dfbc7e199e9d5e4e7528ced26ab2bee/main.pdf,Tme People Of Zoreor District Ed Liberia Timber Private Use Permit ,Tme People Of Zoreor District Ed Liberia Timber Private Use Permit,Timber,Logging,Private Use Permit,Forestry Development Authority,Authority,2011-10-05
7152,5/c63f65b65df2473a153fc86c7e3de292/64344.pdf,Water Wheel Ranch Amendment 1,Water Wheel Ranch,Power and Renewables,Gas-Fired Power Plant,Amendment (Power Purchase Agreement),McMillan Hydro ,Seller,2001-07-31
6999,5/409e52ce3ef8c54af99776edfae4edb9/main.pdf,International Turbine Research Offtake Agreement,International Turbine Research,Power and Renewables,Solar,Power Purchase Agreement,10 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,1984-05-06
6959,5/d4825dd29c8ae698fab65551c89b3020/main.pdf,CTVPower Amendment 1,CTVPower,Power and Renewables,Solar,Power Purchase Agreement,Southern California Edison Company,Buyer,1992-11-09
8364,5/e2e1177f0b6f6ac0789c14597d150588/main.pdf,Raiffeisen Bank International Ag Ghana Health Loan Agreement ,Raiffeisen Bank International Ag Ghana Health Loan Agreement,Health,Healthcare,Loan Agreement,Government Of The Republic Of Ghana,Borrower,
7010,5/7c72c47896bb886219dfdfd465bc4398/main.pdf,WMES El Sobrante Offtake Agreement,WMES El Sobrante,Power and Renewables,Coal Fired Power Plant,Power Purchase Agreement,"WM ENERGY SOLUTIONS,INC.",Seller,2002-12-20
7285,5/7cb734bb35189427e7a1e729acdc4011/06282.pdf,Chugach Offtake Agreement,Chugach,Power and Renewables,Power Transmission and Distribution,Power Purchase Agreement,"CHUGACH ELECTRIC ASSOCIATION, INC.",Seller,1999-02-24
7235,5/27ec7af4a6f0851df6c8d34a609fcfb5/48343.pdf,Collins Pine Amendment 3,Collins Pine,Power and Renewables,Coal Fired Power Plant,Amendment (Project),Pacific Gas and Electric Company,Buyer,1984-07-11
8119,5/0aaf4a2dc6bf39f7e3028607abc35d68/main.pdf,Integrated Team Solutions Surrey Hospital/Hospice Concession ,Integrated Team Solutions Surrey Hospital/Hospice Concession,Hospital/Hospice,Nursing Home,Concession,Surrey Memorial Hospital,Hospital,2014-01-01
7162,5/2d471181b113e4c333307fa1ae414f75/13034.pdf,Chateau Energy Offtake Agreement,Chateau Energy,Power and Renewables,Wind,Power Purchase and Sale Agreement,"Chateau Energy, Inc.",Seller,2006-12-21
4390,5/f8577c6f41e8de9905e20969ed64f668/main.pdf,Marine Terminal Operations at Skagway Terminal Project Agreement,Marine Terminal Operations at Skagway Terminal,Ports and Shipping,Bulk,Terminal Operators' Agreement,"Skagway Terminal
Company",Party,1984-11-20
9302,5/eff3a4b7596acc7dbe6b1cca677ae820/main.pdf,Pheapimex Co. Cambodia Crops and Timber Concession ,Pheapimex Co. Cambodia Crops and Timber Concession,Crops,Sugarcane,Investment Agreement,"Pheapimex Co., Ltd",Party B,2000-01-07
8814,5/34e65d4201d8532c76ff522a48dc1c41/main.pdf,Highland African Mining Company Mozambique Metals Concession ,Highland African Mining Company Mozambique Metals Concession,Metals,Zinc,MINERAL EXPLORATION AGREEMENT,"HIGHLAND AFRICAN MINING COMPANY, LDA.",Concessionaire,2002-12-23
8772,5/f9b31b7fef3a6f52f46abedc7fc9dc55/main.pdf,Forestry Development Authority Liberia Timber Private Use Permit ,Forestry Development Authority Liberia Timber Private Use Permit,Timber,Pine,Private Use Permit,"People of Lorla Clan, Fauma District, Bong District",Owner,2011-01-04
7296,5/8c9c59469cc29d4fa0b3705aaab5c128/56763.pdf,UAF Power Plant Offtake Agreement,UAF Power Plant,Power and Renewables,Nuclear,Power Purchase Agreement,UNIVERSITY OF ALASKA FAIRBANKS,Customer,2021-05-09
7256,5/8d26b27989e5727d09356acfbac2034b/52149.pdf,Mega Hydro 1 Clover Creek Offtake Agreement,Mega Hydro 1 Clover Creek,Hydropower,Ocean Current,Power Purchase Agreement,"Mega Hydro, Inc.",Seller,1985-04-16
4362,5/1b9d9a8e954d1c5ae37ac130e3ace7c7/main.pdf,I-95 HOV/HOT Lanes Project Project Agreement,I-95 HOV/HOT Lanes Project,Road,Rest Stops,Comprehensive Agreement,The Virginia Department Of Transportation,Concessioning Authority,2012-07-30
8272,5/1f5b6cf5e51d5880f8f9d57db89b4470/main.pdf,The Danish Energy Agency Bornholm Wind Construction Licence ,The Danish Energy Agency Bornholm Wind Construction Licence,Wind,Onshore Wind,Construction Licence,"The Ministry of Energy, Utilities and Climate",Concessionaire,2015-02-05
8863,5/ae3c60e7da3b06724d17193c09e1c5ce/main.pdf,Capella Parking Pty Limited (Acn 151 427 119) In Its Capacity As Trustee Of The Capella Parking Unit Trust Western Australia Parking Fm Side Deed ,Capella Parking Pty Limited (Acn 151 427 119) In Its Capacity As Trustee Of The Capella Parking Unit Trust Western Australia Parking Fm Side Deed,Parking,Parking Lot,Project Documents,Capella Parking Pty Limited,Trustee,
6848,5/94da87238943bdfc68022980e6df1ccc/main.pdf,BuenaVista Offtake Agreement,BuenaVista,Power and Renewables,Wind,Power Purchase and Sale Agreement,10 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,1998-07-15
8330,5/cae882a569d458ebbd30cb30dd573a9f/main.pdf,Central Ashanti Gold Limited Ghana Metals Concession ,Central Ashanti Gold Limited Ghana Metals Concession,Metals,Uranium,Mining Lease,Central Ashanti Gold Limited,Company,2009-12-30
7007,5/b9036ef76e838552a3615a12421c8d9e/main.pdf,WMES El Sobrante Offtake Agreement Restated,WMES El Sobrante,Power and Renewables,Hydropower,Power Purchase and Sale Agreement,12 SOUTHERN CALIFORNIA EDISON COMPANY,Buyer,2004-07-01
6931,5/f8d90dbb039a107e7033c4abf67abfeb/main.pdf,Sanford-Burnham Medical Research Institute I Amendment 1,Sanford-Burnham Medical Research Institute I,Power and Renewables,Energy Storage,Project Agreement,Sanford Burnham Institute for Medical Research,Buyer,2010-04-21
6932,5/7d74276d0a23cb809fa9c20c595dc01a/main.pdf,Sanford-Burnham Medical Research Institute I Offtake Agreement,Sanford-Burnham Medical Research Institute I,Power and Renewables,Biomass,Power Purchase Agreement,Sanford Burnham Institute for Medical Research,Seller,2011-01-28
8843,5/42ee756cc801dbecf52dce7f5bd10973/main.pdf,Ore Asia Mining And Development Corporation Philippines Metals Concession ,Ore Asia Mining And Development Corporation Philippines Metals Concession,Metals,Silver,Lease Agreement,Oro Development Corporation,Lessee,1975-09-25
8751,5/315bd59cc7f084f8e866119b22f07806/main.pdf,"Bolloh, Dorbor Fenetoe District, Grand Kru County Ed Liberia Timber Private Use Permit ","Bolloh, Dorbor Fenetoe District, Grand Kru County Ed Liberia Timber Private Use Permit",Timber,Teak,Private Use Permit,"People of Bolloh, Dorbor & Fenetoe District, Grand Kru County",Owner,2010-07-31
7372,5/f0afbe574f0b11b2e126e0b457d392a0/47648.pdf,Tesoro Refining Offtake Agreement,Tesoro Refining,Power and Renewables,Thermal,Power Purchase Agreement,PACIFICORP ,Buyer,2019-10-14
6724,5/585b99d3f3822afd298334e76cea9568/main.pdf,Humboldt Bay MWD Amendment 4,Humboldt Bay MWD,Power and Renewables,Nuclear,Amendment (Project),HUMBOLDT BAY MUNICIPAL WATER DISTRICT,Seller,1987-09-08
8323,5/c6dfc6dbce80ec77d6a8ab8f515558dd/main.pdf,Sinohydro Corporation Limited Ghana Road Epc ,Sinohydro Corporation Limited Ghana Road Epc,Road,Rest Stops,Engineering Procurement Construction Contract,ATP,Contractor,2018-09-01
6914,5/c9c8a3ae85e89054531ae0190a6e9993/main.pdf,Thermal Energy Dev Corp Amendment 7,Thermal Energy Dev Corp,Power and Renewables,Nuclear,Amendment (Project),"Thermal Energy Development Partnership, L.P.",Seller,2015-02-26
6412,5/311644ca96a0e9a14b04574f6debfdd7/main.pdf,Noble America Energy Solutions Noble 2 Amendment 1,Noble America Energy Solutions Noble 2,Power and Renewables,Solar,Power Purchase Agreement,San Diego Gas & Electric Company ,Seller,2012-12-13
8711,5/2b81636ce90524b34e155927c9a39560/main.pdf,Maryland Oil Palm Plantation Liberia Crops Concession ,Maryland Oil Palm Plantation Liberia Crops Concession,Crops,Cassava,Concession Agreement,Maryland Oil Palm Plantation,Investor,2011-03-03
6635,5/9de792982323f6b4424ba97e7b49a7d1/main.pdf,Exelon Generation Co- Portfolio Sale Amendment 1,Exelon Generation Co- Portfolio Sale,Power and Renewables,Cogen,Power Purchase Agreement,"ELECTRIC COMPANY EXELON GENERATION COMPANY, LLC",Buyer,2015-03-31
8327,5/e637a6c3f58a709b1759efa57789e93e/main.pdf,Akanko Mining Limited Ghana Metals Concession ,Akanko Mining Limited Ghana Metals Concession,Metals,Bertholethia Excellsa,Mining Lease,"Minister of Lands, Forestry and Mines",Minister,2008-04-11
6434,5/b8a87bc6935c3be9bf345ed709538f36/main.pdf,Eric and Debbie Wattenburg Amendment 4,Eric and Debbie Wattenburg,Power and Renewables,Power Transmission and Distribution,Power Purchase Agreement,"GANSNER POWER AND WATER, INC.",Seller,2001-07-30
6889,5/a6575fb15e66c55bd9d8484840e57534/main.pdf,Coram Energy Amendment 3,Coram Energy,Power and Renewables,Petroleum Coke-Fired Power Plant,Amendment (Project),CORAM ENERGY GROUP LTD.,Seller,1985-09-25
8814,5/34e65d4201d8532c76ff522a48dc1c41/main.pdf,Highland African Mining Company Mozambique Metals Concession ,Highland African Mining Company Mozambique Metals Concession,Metals,Cobalt,MINERAL EXPLORATION AGREEMENT,Republic of Mozambique,State,2002-12-23
6959,5/d4825dd29c8ae698fab65551c89b3020/main.pdf,CTVPower Amendment 1,CTVPower,Power and Renewables,Thermal,Power Purchase Agreement,Energy Capital Corporation,Seller,1992-11-09
6433,5/54e4821002a8c4e85313441c903fa970/main.pdf,Eric and Debbie Wattenburg Offtake Agreement,Eric and Debbie Wattenburg,Power and Renewables,Diesel-Fired Power Plant,Power Purchase Agreement,10 PACIFIC GAS AND ELECTRIC COMPANY,Buyer,1984-05-06
7309,5/783a8d8cb62a9fd50b0e042e09f51be1/26042.pdf,Midland Cogeneration Offtake Agreement,Midland Cogeneration,Power and Renewables,Cogen,Power Purchase Agreement,"RIVER FORK SOLAR, LLC",Party,2020-11-04
8743,5/955c4b5beaa16fa7994378d6cc8de4d1/main.pdf,"The People Of Aye Oye Town, Doe Clan District 1 Liberia Timber Private Use Permit ","The People Of Aye Oye Town, Doe Clan District 1 Liberia Timber Private Use Permit",Timber,Logging,Private Use Permit,"People of Zaye Town, Doe CIan, Number One District, Grand Bassa County",Owner,2010-12-17
7038,5/eb3684055bfc7bececefb00b5554bdf3/main.pdf,Swiss America Amendment 4,Swiss America,Power and Renewables,Coal Fired Power Plant,Power Purchase Agreement,STEVEN C. ONKEN,Seller,1981-10-26
7822,5/ecc09f1823d3112897fea063db30afe1/main.pdf,Koh Kong Sugar Industry Company Limited Cambodia Crops Concession ,Koh Kong Sugar Industry Company Limited Cambodia Crops Concession,Crops,Palm Oil,Concession Agreement,"The Ministry of Agriculture, Forestry and Fisheries",Concessioning Authority,2006-08-01
8762,5/2514f7c79c915d623368a42a075a8ad6/main.pdf,The People Of Gbarma District Ed Liberia Timber Private Use Permit ,The People Of Gbarma District Ed Liberia Timber Private Use Permit,Timber,Acacia,Private Use Permit,Forestry Development Authority,Authority,2011-10-06
7363,5/34163d3cd446553369c7f8b67324099c/44954.pdf,Long Island Generating Facilities Offtake Agreement,Long Island Generating Facilities,Power and Renewables,Nuclear,Power Purchase Agreement,United Gas Pipe Line Co.,Member of Consortium,2012-10-09
7613,5/a18df57296a771443083c5abb05e14b3/97625.pdf,Indian Valley Hydro Project Agreement,Indian Valley Hydro,Hydropower,Ocean Current,Extension Agreement,Yolo County Flood Control and Water Conservation District,Seller,2013-04-18
6700,5/cf37491765f2bf84f3f10a0be1e7b588/93943.PDF,SPS Corcoran West Offtake Agreement,SPS Corcoran West,Power and Renewables,Nuclear,Power Purchase and Sale Agreement,10 Southern California Edison Company,Buyer,2011-02-10
6791,5/6db0e530a8f6cbdd412361fa62d11b62/main.pdf,SPI Sonora Offtake Agreement,SPI Sonora,Power and Renewables,Nuclear,Interconnection Agreement ,CALIFORNIA INDEPENDENT SYSTEMS OPERATOR CORPORATION,Operator,2017-07-14
7010,5/7c72c47896bb886219dfdfd465bc4398/main.pdf,WMES El Sobrante Offtake Agreement,WMES El Sobrante,Power and Renewables,Diesel-Fired Power Plant,Power Purchase Agreement,"WM ENERGY SOLUTIONS,INC.",Seller,2002-12-20
